DOI	Organism	Tissue	Technique	Data location	itemLabel	normalized_doi	item
10.1111/ACER.14066	Mouse	Culture	Chromium		Ethanol Exposure Increases miR-140 in Extracellular Vesicles: Implications for Fetal Neural Stem Cell Proliferation and Maturation	10.1111/ACER.14066	Q90143399
10.1038/S41592-019-0392-0	Mouse, Human	Blood	ECCITE-seq	GSE126310	Multiplexed detection of proteins, transcriptomes, clonotypes and CRISPR perturbations in single cells.	10.1038/S41592-019-0392-0	Q64893815
10.1101/615013	Human		Chromium & Smart-seq2				
10.1016/J.CELREP.2019.03.090	Zebrafish		Chromium	GSE118577	Single-Cell Transcriptomics Analyses of Neural Stem Cell Heterogeneity and Contextual Plasticity in a Zebrafish Brain Model of Amyloid Toxicity	10.1016/J.CELREP.2019.03.090	Q90275188
10.1016/J.CELREP.2019.03.099	Mouse	Brain	Smart-seq2	GSE127893	The Major Risk Factors for Alzheimer's Disease: Age, Sex, and Genes Modulate the Microglia Response to Aβ Plaques	10.1016/J.CELREP.2019.03.099	Q90275177
10.1038/S41586-019-1146-Y	Mouse	Organoid	Chromium	GSE115956	Self-organization and symmetry breaking in intestinal organoid development	10.1038/S41586-019-1146-Y	Q90284285
10.1038/S41586-019-1154-Y	Mouse	Intestine	Chromium & Smart-seq2	GSE123516	Single-cell transcriptomes of the regenerating intestine reveal a revival stem cell	10.1038/S41586-019-1154-Y	Q90284294
10.1093/EURHEARTJ/EHZ305	Mouse		Chromium		Single-cell transcriptome analyses reveal novel targets modulating cardiac neovascularization by resident endothelial cells following myocardial infarction	10.1093/EURHEARTJ/EHZ305	Q92512993
10.1101/617555	Human	Eye	Chromium				
10.1126/SCIENCE.AAV2501	Mouse, Human		Chromium	GSE128889	Identification of a mesenchymal progenitor cell hierarchy in adipose tissue	10.1126/SCIENCE.AAV2501	Q91523279
10.1101/623710	Human		Chromium & SMARTer (C1)				
10.1038/S41586-019-1158-7	Mouse	Brain	Chromium	GSE118068	Childhood cerebellar tumours mirror conserved fetal transcriptional programs	10.1038/S41586-019-1158-7	Q91676982
10.1038/S41586-019-1195-2	Human	Brain	Chromium	10.7303/syn18485175	Single-cell transcriptomic analysis of Alzheimer's disease	10.1038/S41586-019-1195-2	Q91668217
10.1101/613596	Mouse	Brain	Smart-seq2				
10.1128/JVI.00500-19	Human		Chromium		Single-Cell Virus Sequencing of Influenza Infections That Trigger Innate Immunity	10.1128/JVI.00500-19	Q91862858
10.1101/624890	Mouse	Breast	Drop-seq				
10.1101/627539	Mouse		Chromium				
10.1016/J.EXER.2019.05.001	Human	Retina	Chromium	GSE130636	Molecular characterization of foveal versus peripheral human retina by single-cell RNA sequencing	10.1016/J.EXER.2019.05.001	Q91918543
10.1101/630657	Human						
10.1126/SCITRANSLMED.AAU8587	Human	Synovial tissue	CEL-seq2	SDY998	HBEGF macrophages in rheumatoid arthritis induce fibroblast invasiveness	10.1126/SCITRANSLMED.AAU8587	Q64109416
10.1038/S41586-019-1168-5	Human		InDrops	GSE114412	Charting cellular identity during human in vitro β-cell differentiation	10.1038/S41586-019-1168-5	Q91865409
10.1016/J.CELREP.2019.04.052	Human	Stomach	Chromium	GSE134520	Dissecting the Single-Cell Transcriptome Network Underlying Gastric Premalignant Lesions and Early Gastric Cancer	10.1016/J.CELREP.2019.04.052	Q91855162
10.1038/S41593-019-0393-4	Mouse	Brain	Chromium	GSE128855	A single-cell atlas of mouse brain macrophages reveals unique transcriptional identities shaped by ontogeny and tissue environment	10.1038/S41593-019-0393-4	Q64109523
10.1038/S41590-019-0378-1	Human	Synovial tissue	CEL-seq2	SDY998	Defining inflammatory cell states in rheumatoid arthritis joint synovial tissues by integrating single-cell transcriptomics and mass cytometry	10.1038/S41590-019-0378-1	Q64109520
10.1126/SCIENCE.AAV2522	Mouse	Brain	SMARTer (C1)	GSE118953	Temporal patterning of apical progenitors and their daughter neurons in the developing neocortex	10.1126/SCIENCE.AAV2522	Q91898650
10.3390/IJMS20092316	Human		Chromium		Single-Cell RNA-Sequencing Identifies Activation of TP53 and STAT1 Pathways in Human T Lymphocyte Subpopulations in Response to Ex Vivo Radiation Exposure.	10.3390/IJMS20092316	Q64936193
10.1093/EURHEARTJ/EHZ351	Human	Culture	Chromium	GSE131736	Transcriptional dynamics of pluripotent stem cell-derived endothelial cell differentiation revealed by single-cell RNA sequencing	10.1093/EURHEARTJ/EHZ351	Q93047940
10.1038/S41467-019-10122-2	Human		Hydro-Seq	PRJNA471754	Hydro-Seq enables contamination-free high-throughput single-cell RNA-sequencing for circulating tumor cells	10.1038/S41467-019-10122-2	Q64054850
10.1038/S41586-019-1198-Z	Human		Smart-seq2 & scRRBS	GSE109085	Epigenetic evolution and lineage histories of chronic lymphocytic leukaemia	10.1038/S41586-019-1198-Z	Q92052916
10.1126/SCIADV.AAV2249					Multiplexed single-cell RNA-seq via transient barcoding for simultaneous expression profiling of various drug perturbations	10.1126/SCIADV.AAV2249	Q64054994
10.1126/SCIENCE.AAV8130	Human	Brain	Chromium	PRJNA434002	Single-cell genomics identifies cell type-specific molecular changes in autism	10.1126/SCIENCE.AAV8130	Q92090793
10.1126/SCIENCE.AAV9996	Xenopus	Tail		E-MTAB-7716	Identification of a regeneration-organizing cell in the Xenopus tail	10.1126/SCIENCE.AAV9996	Q63979660
10.1038/S41596-019-0164-4	Human, Mouse		MARS-seq2.0	GSE123392	MARS-seq2.0: an experimental and analytical pipeline for indexed sorting combined with single-cell RNA sequencing	10.1038/S41596-019-0164-4	Q64108792
10.1101/638254	Human	Blood	Chromium	GSE130228			
10.1038/S41590-019-0386-1	Human	Kidney		phs001457.v1.p1 	Tubular cell and keratinocyte single-cell transcriptomics applied to lupus nephritis reveal type I IFN and fibrosis relevant pathways	10.1038/S41590-019-0386-1	Q92173455
10.1101/643130	Mouse	Heart					
10.1101/642819	Human	Blood	Chromium				
10.1016/J.CELREP.2019.04.096	Mouse		Chromium	GSE124312	An Atlas of Vagal Sensory Neurons and Their Molecular Specialization	10.1016/J.CELREP.2019.04.096	Q64281070
10.1242/DEV.174888	Mouse	Face	Chromium	GSE132462	The molecular anatomy of mammalian upper lip and primary palate fusion at single cell resolution	10.1242/DEV.174888	Q92225584
10.1242/DEV.178673	Mouse	Kidney	Chromium	GSE108291	Single cell analysis of the developing mouse kidney provides deeper insight into marker gene expression and ligand-receptor crosstalk	10.1242/DEV.178673	Q92225578
10.1016/J.NEURON.2019.04.010	Mouse	Eye	Chromium & Smart-seq2	GSE118614	Single-Cell RNA-Seq Analysis of Retinal Development Identifies NFI Factors as Regulating Mitotic Exit and Late-Born Cell Specification	10.1016/J.NEURON.2019.04.010	Q92293282
10.1016/J.IMMUNI.2019.05.002	Mouse		Smart-seq2	GSE131038	Polychromic Reporter Mice Reveal Unappreciated Innate Lymphoid Cell Progenitor Heterogeneity and Elusive ILC3 Progenitors in Bone Marrow	10.1016/J.IMMUNI.2019.05.002	Q92293401
10.1016/J.CELL.2019.04.040	Mouse	Bone marrow	Chromium	GSE128423	A Cellular Taxonomy of the Bone Marrow Stroma in Homeostasis and Leukemia	10.1016/J.CELL.2019.04.040	Q92303660
10.1101/648642	Mouse						
10.1126/SCIIMMUNOL.AAU7148	Human		Smart-seq2	GSE113046	Identification of two distinct pathways of human myelopoiesis	10.1126/SCIIMMUNOL.AAU7148	Q92281785
10.1038/S41592-019-0425-8	Human		CEL-seq2 & Chromium & Drop-seq & SORT-seq	GSE118767	Benchmarking single cell RNA-sequencing analysis pipelines using mixture control experiments	10.1038/S41592-019-0425-8	Q92325819
10.1016/J.CELL.2019.08.009	Mouse		SMARTer (C1)		Fate Mapping via Ms4a3-Expression History Traces Monocyte-Derived Cells	10.1016/J.CELL.2019.08.009	Q93151331
10.1016/J.CELREP.2019.04.102	Mouse		Chromium	E-MTAB-7149	Single-Cell Transcriptional Profiling of Aortic Endothelium Identifies a Hierarchy from Endovascular Progenitors to Differentiated Cells	10.1016/J.CELREP.2019.04.102	Q92375183
10.7554/ELIFE.45181	Zebrafish		Chromium	GSE131136	Thyroid hormone regulates distinct paths to maturation in pigment cell lineages	10.7554/ELIFE.45181	Q83232134
10.1242/DEV.173476	Mouse	Heart	Chromium & SMARTer (C1)	GSE122403	Single cell expression analysis reveals anatomical and cell cycle-dependent transcriptional shifts during heart development	10.1242/DEV.173476	Q92380573
10.1038/S41586-019-1263-7	Mouse	Synovial tissue	Chromium	GSE129087	Distinct fibroblast subsets drive inflammation and damage in arthritis	10.1038/S41586-019-1263-7	Q92382884
10.1161/CIRCULATIONAHA.118.038362	Mouse	Aorta	GemCode	SCP289	Single-Cell Analysis of the Normal Mouse Aorta Reveals Functionally Distinct Endothelial Cell Populations	10.1161/CIRCULATIONAHA.118.038362	Q92410796
10.1242/DEV.180190	Mouse		Chromium	GSE132504	Neuro-mesodermal progenitors (NMPs): a comparative study between pluripotent stem cells and embryo-derived populations	10.1242/DEV.180190	Q92450893
10.1038/S41588-019-0424-9	Human, Mouse	Breast		GSE117309	High-throughput single-cell ChIP-seq identifies heterogeneity of chromatin states in breast cancer	10.1038/S41588-019-0424-9	Q92451925
10.1038/S41467-019-10291-0	Human		InDrops	GSE117498	A comprehensive single cell transcriptional landscape of human hematopoietic progenitors	10.1038/S41467-019-10291-0	Q92501781
10.1038/S41556-019-0336-Z	Ciona robusta		Smart-seq2	GSE99844	A single-cell transcriptional roadmap for cardiopharyngeal fate diversification	10.1038/S41556-019-0336-Z	Q92502799
10.1242/DEV.173716	Mouse	Pancreas	SORT-seq	GSE132364	A transcriptomic roadmap to α- and β-cell differentiation in the embryonic pancreas	10.1242/DEV.173716	Q92500931
10.1242/DEV.173849	Mouse	Pancreas	Chromium	GSE132188	Comprehensive single cell mRNA profiling reveals a detailed roadmap for pancreatic endocrinogenesis	10.1242/DEV.173849	Q92500947
10.1101/658179	Human		Smart-seq2				
10.1093/NAR/GKZ535	Human	Culture	SMARTer		SMARTer single cell total RNA sequencing	10.1093/NAR/GKZ535	Q92875043
10.1038/S41586-019-1289-X	Human	Organoid	Chromium	GSE129519	Individual brain organoids reproducibly form cell diversity of the human cerebral cortex	10.1038/S41586-019-1289-X	Q92548431
10.1101/657148	Mouse	Brain	Chromium				
10.1016/J.CELL.2019.05.006	Mouse, Human	Brain	Chromium	GSE126836	Single-Cell Multi-omic Integration Compares and Contrasts Features of Brain Cell Identity	10.1016/J.CELL.2019.05.006	Q92614159
10.1186/S12974-019-1505-5		Eye	Chromium		Reactive microglia and IL1β/IL-1R1-signaling mediate neuroprotection in excitotoxin-damaged mouse retina	10.1186/S12974-019-1505-5	Q92567737
10.1126/SCIENCE.AAS9536	Mouse	Brain	Smart-seq2	GSE129114	Spatiotemporal structure of cell fate decisions in murine neural crest	10.1126/SCIENCE.AAS9536	Q92571628
10.4049/JIMMUNOL.1900363	Mouse		Chromium		Cell-Intrinsic Wnt4 Influences Conventional Dendritic Cell Fate Determination to Suppress Type 2 Immunity	10.4049/JIMMUNOL.1900363	Q92595055
10.1186/S13048-019-0529-X	Mouse	Oocyte	NEBNext Ultra		Mitochondrial dysfunction and endoplasmic reticulum stress involved in oocyte aging: an analysis using single-cell RNA-sequencing of mouse oocytes.	10.1186/S13048-019-0529-X	Q64891299
10.1101/666610	Mouse	Heart	Smart-seq2				
10.1016/J.IMMUNI.2019.05.009	Mouse	Skin	CEL-seq2	GSE114526	A Subset of Skin Macrophages Contributes to the Surveillance and Regeneration of Local Nerves	10.1016/J.IMMUNI.2019.05.009	Q92759530
10.1101/666081	Human, Mouse		sci-fate				
10.1038/S41586-019-1285-1	Mouse		Chromium		Migrant memory B cells secrete luminal antibody in the vagina	10.1038/S41586-019-1285-1	Q92691104
10.1158/2159-8290.CD-19-0094	Human, Mouse	Pancreas	Chromium		Cross-Species Single-Cell Analysis of Pancreatic Ductal Adenocarcinoma Reveals Antigen-Presenting Cancer-Associated Fibroblasts	10.1158/2159-8290.CD-19-0094	Q92732735
10.7150/THNO.32734	Mouse	Heart, Spleen	Chromium		Regulatory T-cells regulate neonatal heart regeneration by potentiating cardiomyocyte proliferation in a paracrine manner	10.7150/THNO.32734	Q91725251
10.1002/MRD.23181	Sea urchin		Chromium		Single cell RNA-seq in the sea urchin embryo show marked cell-type specificity in the Delta/Notch pathway	10.1002/MRD.23181	Q92744706
10.1242/DEV.180398	Mouse	Heart	Chromium	GSE131181	A cellular atlas of Pitx2-dependent cardiac development	10.1242/DEV.180398	Q92760081
10.1038/S41593-019-0419-Y	Mouse	Brain	InDrops	GSE129150	Sensory lesioning induces microglial synapse elimination via ADAM10 and fractalkine signaling	10.1038/S41593-019-0419-Y	Q92826757
10.1038/S41591-019-0468-5	Human	Lung	Chromium & Drop-seq & Smart-seq2	GSE130148	A cellular census of human lungs identifies novel cell states in health and in asthma	10.1038/S41591-019-0468-5	Q92826478
10.1038/S41590-019-0403-4	Mouse	Spleen	Chromium	GSE119943	Single-cell RNA-seq reveals TOX as a key regulator of CD8+ T cell persistence in chronic infection	10.1038/S41590-019-0403-4	Q92826927
10.1038/S41590-019-0425-Y	Human, Mouse	Tonsil	Chromium	GSE130775	Subsets of ILC3-ILC1-like cells generate a diversity spectrum of innate lymphoid cells in human mucosal tissues	10.1038/S41590-019-0425-Y	Q92826964
10.1038/S41592-019-0433-8	Human, Mouse		MULTI-seq	GSE129578	MULTI-seq: sample multiplexing for single-cell RNA sequencing using lipid-tagged indices	10.1038/S41592-019-0433-8	Q92826809
10.1038/S41590-019-0398-X	Human	Kidney	CEL-seq2	SCP279	The immune cell landscape in kidneys of patients with lupus nephritis	10.1038/S41590-019-0398-X	Q92826945
10.1038/S41587-019-0150-Y	Human, Mouse	Culture	scDam&T-seq & CEL-seq	GSE108639	Simultaneous quantification of protein-DNA contacts and transcriptomes in single cells	10.1038/S41587-019-0150-Y	Q92826701
10.1016/J.CELREP.2019.05.064	Mouse		Chromium	GSE123400	Single-Cell Transcriptomics Identifies the Adaptation of Scart1+ Vγ6+ T Cells to Skin Residency as Activated Effector Cells	10.1016/J.CELREP.2019.05.064	Q92877935
10.1172/JCI.INSIGHT.128120	Human	Kidney, Tumor	Chromium		Identification of dicarbonyl and L-xylulose reductase as a therapeutic target in human chronic kidney disease	10.1172/JCI.INSIGHT.128120	Q92884447
10.1101/675439	Human		SMARTer (C1)	GSE129671			
10.1016/J.CELL.2019.05.027	Human	Culture	APEX-seq	GSE116008	Atlas of Subcellular RNA Localization Revealed by APEX-Seq	10.1016/J.CELL.2019.05.027	Q92967184
10.1016/J.IMMUNI.2019.05.014	Mouse		Smart-seq2	GSE131935	Single-Cell RNA Sequencing of the T Helper Cell Response to House Dust Mites Defines a Distinct Gene Expression Signature in Airway Th2 Cells	10.1016/J.IMMUNI.2019.05.014	Q92969275
10.1101/678763	Human	Blood	Chromium				
10.7554/ELIFE.43966	Mouse	Testis	Drop-seq	GSE113293	Unified single-cell analysis of testis gene regulation and pathology in five mouse strains	10.7554/ELIFE.43966	Q83231314
10.1016/J.CELREP.2019.05.090	Mouse	Brain	SMARTer	GSE121653	Single-Cell RNA-Seq Reveals Developmental Origins and Ontogenetic Stability of Neurexin Alternative Splicing Profiles	10.1016/J.CELREP.2019.05.090	Q93047542
10.1038/S41467-019-10596-0	Mouse	Testis	Chromium	GSE124904	Developmental kinetics and transcriptome dynamics of stem cell specification in the spermatogenic lineage	10.1038/S41467-019-10596-0	Q93052958
10.1016/J.CELL.2019.05.047	Mouse		Chromium	GSE123508	Neutrophils Driving Unconventional T Cells Mediate Resistance against Murine Sarcomas and Selected Human Tumors	10.1016/J.CELL.2019.05.047	Q93137685
10.1016/J.CELL.2019.05.054	Human, Mouse		MARS-seq	GSE128518	Lipid-Associated Macrophages Control Metabolic Homeostasis in a Trem2-Dependent Manner	10.1016/J.CELL.2019.05.054	Q93137723
10.1101/683227	Human, Mouse		Chromium				
10.1126/SCIENCE.AAX1184	Mouse	Brain	Drop-seq	GSE130597	Obesity remodels activity and transcriptional state of a lateral hypothalamic brake on feeding	10.1126/SCIENCE.AAX1184	Q67653684
10.1101/683854	Human		Chromium	GSE132509			
10.1016/J.YDBIO.2019.06.017	Mouse	Testis	Chromium	SRR9107534	Proteomics and single-cell RNA analysis of Akap4-knockout mice model confirm indispensable role of Akap4 in spermatogenesis	10.1016/J.YDBIO.2019.06.017	Q93129164
10.1167/IOVS.19-26951	Mouse	Eye	Chromium	GSE132272	Identification of Genes With Enriched Expression in Early Developing Mouse Cone Photoreceptors	10.1167/IOVS.19-26951	Q91505843
10.1101/688564	Mouse	Kidney	Smart-seq2				
10.1101/687947	Human		Chromium	GSE128892			
10.1101/689687	Drosophila	Testis	Chromium				
10.1038/S41598-019-45842-4	Human	Lung	Drop-seq	GSE126111	An optimised tissue disaggregation and data processing pipeline for characterising fibroblast phenotypes using single-cell RNA sequencing	10.1038/S41598-019-45842-4	Q91595103
10.1038/S41586-019-1367-0	Human, Mouse	Blood, Bone marrow	GoT	GSE117826	Somatic mutations and cell identity linked by Genotyping of Transcriptomes	10.1038/S41586-019-1367-0	Q91595285
10.1038/S41586-019-1362-5	Mouse	Brain	Chromium & SMARTer (C1) & SMARTer	PRJNA450425	Single-cell analysis reveals T cell infiltration in old neurogenic niches	10.1038/S41586-019-1362-5	Q91595293
10.1038/S41422-019-0195-Y	Human	Pancreas	Chromium	CRA001160	Single-cell RNA-seq highlights intra-tumoral heterogeneity and malignant progression in pancreatic ductal adenocarcinoma	10.1038/S41422-019-0195-Y	Q91622915
10.1101/692608	Mouse	Brain	SNARE-seq				
10.1101/566968	Human	Breast	MIRALCS	CNP0000286			
10.1161/CIRCRESAHA.118.314578	Mouse	Heart	Chromium	GSE132658	Transcriptomic Profiling of the Developing Cardiac Conduction System at Single-Cell Resolution	10.1161/CIRCRESAHA.118.314578	Q91717479
10.1016/J.CELREP.2019.06.031	Mouse	Bone marrow, Culture	InDrops	GSE132151	Mapping Distinct Bone Marrow Niche Populations and Their Differentiation Paths	10.1016/J.CELREP.2019.06.031	Q91770711
10.15252/EMBR.201847379	Mouse	Lymph nodes	SMARTer	E-MTAB-7178	IL-7-dependent compositional changes within the γδ T cell pool in lymph nodes during ageing lead to an unbalanced anti-tumour response	10.15252/EMBR.201847379	Q91702845
10.1093/BIB/BBZ096	Human, Mouse	Culture	GEXSCOPE	GSE128982	Evaluation of single-cell classifiers for single-cell RNA sequencing data sets	10.1093/BIB/BBZ096	Q91054636
10.1038/S41586-019-1385-Y	Ciona instestinalis	Whole organism	Chromium	GSE131155	Comprehensive single-cell transcriptome lineages of a proto-vertebrate	10.1038/S41586-019-1385-Y	Q75715838
10.1038/S41586-019-1373-2	Human	Liver	mCEL-seq2	GSE124395	A human liver cell atlas reveals heterogeneity and epithelial progenitors	10.1038/S41586-019-1373-2	Q91776824
10.1038/S41586-019-1369-Y	Human, Mouse	Skin	scSLAM-seq	GSE115612	scSLAM-seq reveals core features of transcription dynamics in single cells	10.1038/S41586-019-1369-Y	Q91776830
10.1016/J.NEURON.2019.06.011	Human	Brain	Drop-seq & SMARTer (C1)	phs001836	A Single-Cell Transcriptomic Atlas of Human Neocortical Development during Mid-gestation	10.1016/J.NEURON.2019.06.011	Q91862140
10.1038/S41467-019-11049-4	Human		RAGE-Seq	PRJEB28878	High-throughput targeted long-read single cell sequencing reveals the clonal and transcriptional landscape of lymphocytes	10.1038/S41467-019-11049-4	Q91936482
10.2337/DB19-0287	Human	Blood	Chromium	EGAD00001005768	Early Detection of Peripheral Blood Cell Signature in Children Developing β-Cell Autoimmunity at a Young Age	10.2337/DB19-0287	Q91935245
10.1182/BLOOD.2019000200	Mouse	Bone marrow	Chromium		TNF-α-driven inflammation and mitochondrial dysfunction define the platelet hyperreactivity of aging	10.1182/BLOOD.2019000200	Q91935402
10.1186/S13059-019-1739-7	Human	Culture	Chromium		CellSIUS provides sensitive and specific detection of rare cell populations from complex single-cell RNA-seq data	10.1186/S13059-019-1739-7	Q91964786
10.1101/705244	Mouse	Lung	Drop-seq				
10.1038/S41586-019-1404-Z	Human	Brain	Chromium	PRJNA544731	Neuronal vulnerability and multilineage diversity in multiple sclerosis	10.1038/S41586-019-1404-Z	Q91969373
10.1016/J.CELL.2019.06.024	Human	Brain	Chromium & Smart-seq2	GSE131928	An Integrative Model of Cellular States, Plasticity, and Genetics for Glioblastoma	10.1016/J.CELL.2019.06.024	Q92055634
10.1038/S41598-019-46932-Z	Mouse, Rat, Human	Blood, Culture, Liver	Chromium & Drop-seq	GSE127249	DMSO cryopreservation is the method of choice to preserve cells for droplet-based single-cell RNA sequencing	10.1038/S41598-019-46932-Z	Q92134247
10.1016/J.IMMUNI.2019.06.017	Mouse	Tumor	Chromium	GSE133656	Treg Cells Promote the SREBP1-Dependent Metabolic Fitness of Tumor-Promoting Macrophages via Repression of CD8+ T Cell-Derived Interferon-γ	10.1016/J.IMMUNI.2019.06.017	Q92213306
10.1172/JCI.INSIGHT.129212	Mouse	Pancreas	Chromium	GSE125588	Cellular heterogeneity during mouse pancreatic ductal adenocarcinoma progression at single-cell resolution	10.1172/JCI.INSIGHT.129212	Q92118472
10.1038/S41597-019-0131-5	Human	Blood, Tumor, Gut	Smart-seq2	GSE108989	Deep single-cell RNA sequencing data of individual T cells from treatment-naïve colorectal cancer patients	10.1038/S41597-019-0131-5	Q92153565
10.1038/S41586-019-1434-6	Human, Mouse	Tumor	Chromium & Smart-seq2	GSE119926	Resolving medulloblastoma cellular architecture by single-cell genomics	10.1038/S41586-019-1434-6	Q92154185
10.1038/S41586-019-1414-X	Mouse	Heart	Chromium	GSE126128	Single-cell analysis of cardiogenesis reveals basis for organ-level developmental defects	10.1038/S41586-019-1414-X	Q92154155
10.1016/J.CELL.2019.06.029	Human	Colon	Chromium	SCP259	Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis	10.1016/J.CELL.2019.06.029	Q92204349
10.1126/SCIENCE.AAV9314	Hydra	Whole organism	Drop-seq	GSE121617	Stem cell differentiation trajectories in Hydra resolved at single-cell resolution	10.1126/SCIENCE.AAV9314	Q92185170
10.1101/713412	Mouse	Brain	Chromium	10.6084/m9.figshare.8976473.v1			
10.1101/715995	Human	Culture	Chromium				
10.1101/714824	Mouse	Liver	Chromium	GSE134134			
10.1038/S41591-019-0522-3	Human	Tumors	Chromium		Clonal replacement of tumor-specific T cells following PD-1 blockade	10.1038/S41591-019-0522-3	Q92267499
10.1038/S41591-019-0512-5	Mouse			GSE131776	Atheroprotective roles of smooth muscle cell phenotypic modulation and the TCF21 disease gene as revealed by single-cell analysis	10.1038/S41591-019-0512-5	Q92267490
10.1186/S13073-019-0657-3	Human, Mouse	Culture, Joint, Lymph node	Seq-Well	PRJNA504425	A validated single-cell-based strategy to identify diagnostic and therapeutic targets in complex diseases	10.1186/S13073-019-0657-3	Q92260817
10.1038/S41592-019-0492-X	Drosophila	Wing	Chromium & Drop-seq	GSE127832	Gene expression atlas of a developing tissue by single cell expression correlation analysis	10.1038/S41592-019-0492-X	Q92297267
10.1016/J.CELREP.2019.06.092	Mouse	Heart	Chromium	PRJNA489304	Single-Cell RNA-Seq of the Developing Cardiac Outflow Tract Reveals Convergent Development of the Vascular Smooth Muscle Cells	10.1016/J.CELREP.2019.06.092	Q92314719
10.1016/J.STEM.2019.07.007	Human	Culture	Chromium		Modeling Monogenic Diabetes using Human ESCs Reveals Developmental and Metabolic Deficiencies Caused by Mutations in HNF1A	10.1016/J.STEM.2019.07.007	Q92368859
10.1101/721258	Human	Small intestine	SORT-seq	EGAD00001005127			
10.1038/S41586-019-1471-1	Mouse		Chromium		Locally renewing resident synovial macrophages provide a protective barrier for the joint	10.1038/S41586-019-1471-1	Q92483956
10.1016/J.IMMUNI.2019.06.027	Human	Lymph nodes	Chromium	GSE124494	Single-Cell Survey of Human Lymphatics Unveils Marked Endothelial Cell Heterogeneity and Mechanisms of Homing for Neutrophils	10.1016/J.IMMUNI.2019.06.027	Q92551918
10.1186/S13195-019-0524-X	Human	Brain	Chromium		A single-nuclei RNA sequencing study of Mendelian and sporadic AD in the human brain	10.1186/S13195-019-0524-X	Q92531305
10.1101/732412	Human	Culture	MULTI-seq				
10.1073/PNAS.1908180116	Human	Culture		GSE120107	Single-cell RNA-seq identifies a reversible mesodermal activation in abnormally specified epithelia of p63 EEC syndrome	10.1073/PNAS.1908180116	Q92623870
10.1016/J.STEM.2019.07.009	Mouse	Culture	Smart-seq2	E-MTAB-7901	Distinct Molecular Trajectories Converge to Induce Naive Pluripotency	10.1016/J.STEM.2019.07.009	Q92681821
10.1038/S41467-019-11667-Y	Mouse	Brain	Chromium	GSE126480	Single cell transcriptome analysis of developing arcuate nucleus neurons uncovers their key developmental regulators	10.1038/S41467-019-11667-Y	Q92668670
10.1038/S41467-019-11493-2	Human, Mouse	Brain	Smart-seq2	SCP271	Mitogenic and progenitor gene programmes in single pilocytic astrocytoma cells	10.1038/S41467-019-11493-2	Q92709563
10.1101/738443	Pig	Brain	Chromium	GSE134482			
10.1101/739680		Ear					
10.1038/S41586-019-1506-7	Human	Brain	SMARTer		Conserved cell types with divergent features in human versus mouse cortex	10.1038/S41586-019-1506-7	Q71306466
10.1101/741371	Mouse	Culture	Chromium				
10.1126/SCIADV.AAW8330	Mouse	Spleen	Chromium	SCP490	Aging promotes reorganization of the CD4 T cell landscape toward extreme regulatory and effector phenotypes	10.1126/SCIADV.AAW8330	Q92924617
10.15252/EMBJ.2018100811	Human	Retina	Chromium	E-MTAB-7316	A single-cell transcriptome atlas of the adult human retina	10.15252/EMBJ.2018100811	Q92766837
10.1038/S41467-019-11746-0	Mouse	Bone marrow	Chromium		B1 oligomerization regulates PML nuclear body biogenesis and leukemogenesis	10.1038/S41467-019-11746-0	Q92797023
10.1016/J.CELL.2019.07.048	Mouse	Intestine			Ketone Body Signaling Mediates Intestinal Stem Cell Homeostasis and Adaptation to Diet	10.1016/J.CELL.2019.07.048	Q92817489
10.1242/DEV.184143	Zebrafish	Brain	Chromium	GSE141428	A single cell transcriptome atlas of the developing zebrafish hindbrain	10.1242/DEV.184143	Q89864886
10.1101/742320	Human	Blood, Lung	Chromium & Smart-seq2				
10.1681/ASN.2019040335	Human, Mouse	Bladder		GSE129845	Single-Cell Transcriptomic Map of the Human and Mouse Bladders	10.1681/ASN.2019040335	Q92963567
10.1101/749473			SPARC				
10.1016/J.AJHG.2019.07.019	Human	Brain	SPLiT-seq		Redefining the Etiologic Landscape of Cerebellar Malformations	10.1016/J.AJHG.2019.07.019	Q93043299
10.1016/J.CELL.2019.08.008	Human	Blood, Ileum, Small intestine	Chromium	GSE134809	Single-Cell Analysis of Crohn's Disease Lesions Identifies a Pathogenic Cellular Module Associated with Resistance to Anti-TNF Therapy	10.1016/J.CELL.2019.08.008	Q93043721
10.1101/750042	Mouse	Skin	Chromium				
10.1101/753178	Zebrafish						
10.1038/S41467-019-11947-7	Human	Blood, Bone marrow	Chromium	GSE130430	Heterogeneity of human bone marrow and blood natural killer cells defined by single-cell transcriptome	10.1038/S41467-019-11947-7	Q93063965
10.1038/S41467-019-11721-9	Human	Culture	Chromium	GSE122743	Single-cell transcriptomics reveals multi-step adaptations to endocrine therapy	10.1038/S41467-019-11721-9	Q93063767
10.1038/S41588-019-0489-5	Human		Chromium & CROP-seq	GSE114687	A pooled single-cell genetic screen identifies regulatory checkpoints in the continuum of the epithelial-to-mesenchymal transition	10.1038/S41588-019-0489-5	Q93065118
10.1038/S41556-019-0378-2	Mouse	Incisor growth region	Chromium	GSE131204	A large pool of actively cycling progenitors orchestrates self-renewal and injury repair of an ectodermal appendage	10.1038/S41556-019-0378-2	Q93087401
10.1101/753731	Human						
